date,ticker,industry,rank,predicted_up_probability
2026-08-26,BA,Industrials,1,0.5268278057396161
2026-08-26,PM,ConsumerStaples,2,0.5235868134115524
2026-08-26,D,Utilities,3,0.5224467603104633
2026-08-26,WMB,Energy,4,0.5223692031436237
2026-08-26,MPC,Energy,5,0.5222680992501889
2026-08-26,KMI,Energy,6,0.5212641824665476
2026-08-26,MAR,ConsumerDiscretionary,7,0.517507517715928
2026-08-26,ZTS,Pharma,8,0.5172296989978997
2026-08-26,SYY,ConsumerStaples,9,0.5151825533177341
2026-08-26,DTE,Utilities,10,0.5148659070658332
